transponder_id,loop,utcTimestamp,utcTime,lapTime,eventName,trackedRider
LL66467,L03,1741719544.592,2025-03-11 18:59:04.592000,27.62,Vlaamse wielerschool,
LL66467,L03,1741719549.703,2025-03-11 18:59:09.703000,29.175,Vlaamse wielerschool,
LL66467,L03,1741719552.197,2025-03-11 18:59:12.197000,30.027,Vlaamse wielerschool,
LL66467,L03,1741719528.068,2025-03-11 18:58:48.068000,24.937,Vlaamse wielerschool,
LL66467,L03,1741719532.624,2025-03-11 18:58:52.624000,25.445,Vlaamse wielerschool,
LL66467,L03,1741719533.679,2025-03-11 18:58:53.679000,25.479,Vlaamse wielerschool,
LL66467,L03,1741719544.448,2025-03-11 18:59:04.448000,2.352,Vlaamse wielerschool,
HS58961,L02,1741719561.809,2025-03-11 18:59:21.809000,28.807,Vlaamse wielerschool,
HS58961,L02,1741719601.782,2025-03-11 19:00:01.782000,35.364,Vlaamse wielerschool,
HS58961,L02,1741719568.369,2025-03-11 18:59:28.369000,29.654,Vlaamse wielerschool,
HS58961,L02,1741719575.694,2025-03-11 18:59:35.694000,30.713,Vlaamse wielerschool,
HS58961,L02,1741719581.23,2025-03-11 18:59:41.230000,31.391,Vlaamse wielerschool,
HS58961,L02,1741719582.541,2025-03-11 18:59:42.541000,31.581,Vlaamse wielerschool,
HS58961,L02,1741719592.7,2025-03-11 18:59:52.700000,33.137,Vlaamse wielerschool,
LS41140,L03,1741719696.468,2025-03-11 19:01:36.468000,42.751,Vlaamse wielerschool,
LS41140,L03,1741719703.578,2025-03-11 19:01:43.578000,45.196,Vlaamse wielerschool,
LS41140,L03,1741719707.076,2025-03-11 19:01:47.076000,46.536,Vlaamse wielerschool,
LS41140,L03,1741719636.081,2025-03-11 19:00:36.081000,28.878,Vlaamse wielerschool,
LS41140,L03,1741719641.355,2025-03-11 19:00:41.355000,29.252,Vlaamse wielerschool,
LS41140,L03,1741719642.524,2025-03-11 19:00:42.524000,29.334,Vlaamse wielerschool,
LS41140,L03,1741719696.334,2025-03-11 19:01:36.334000,3.844,Vlaamse wielerschool,
KS47739,L07,1741719565.491,2025-03-11 18:59:25.491000,30.273,Vlaamse wielerschool,
KS47739,L07,1741719572.421,2025-03-11 18:59:32.421000,33.232,Vlaamse wielerschool,
KS47739,L07,1741719541.063,2025-03-11 18:59:01.063000,28.569,Vlaamse wielerschool,
KS47739,L07,1741719547.457,2025-03-11 18:59:07.457000,28.578,Vlaamse wielerschool,
KS47739,L07,1741719552.181,2025-03-11 18:59:12.181000,28.524,Vlaamse wielerschool,
KS47739,L07,1741719553.3,2025-03-11 18:59:13.300000,28.392,Vlaamse wielerschool,
KS47739,L07,1741719620.177,2025-03-11 19:00:20.177000,54.91,Vlaamse wielerschool,
PX83485,L07,1741718258.924,2025-03-11 18:37:38.924000,22.209,Vlaamse wielerschool,
PX83485,L07,1741718262.736,2025-03-11 18:37:42.736000,22.999,Vlaamse wielerschool,
PX83485,L07,1741718264.567,2025-03-11 18:37:44.567000,23.454,Vlaamse wielerschool,
PX83485,L07,1741718245.831,2025-03-11 18:37:25.831000,22.779,Vlaamse wielerschool,
PX83485,L07,1741718279.114,2025-03-11 18:37:59.114000,29.674,Vlaamse wielerschool,
PX83485,L07,1741718280.554,2025-03-11 18:38:00.554000,30.281,Vlaamse wielerschool,
PX83485,L07,1741718292.838,2025-03-11 18:38:12.838000,35.766,Vlaamse wielerschool,
TL31195,L01,1741719582.836,2025-03-11 18:59:42.836000,41.682,Vlaamse wielerschool,
TL31195,L01,1741719545.576,2025-03-11 18:59:05.576000,29.748,Vlaamse wielerschool,
TL31195,L01,1741719547.609,2025-03-11 18:59:07.609000,29.905,Vlaamse wielerschool,
TL31195,L01,1741719555.531,2025-03-11 18:59:15.531000,31.462,Vlaamse wielerschool,
TL31195,L01,1741719561.71,2025-03-11 18:59:21.710000,32.911,Vlaamse wielerschool,
TL31195,L01,1741719563.133,2025-03-11 18:59:23.133000,33.118,Vlaamse wielerschool,
TL31195,L01,1741719582.463,2025-03-11 18:59:42.463000,4.488,Vlaamse wielerschool,
CT87815,L06,1741983157.187,2025-03-14 20:12:37.187000,20.978,Vlaamse wielerschool,
CT87815,L06,1741983162.195,2025-03-14 20:12:42.195000,22.893,Vlaamse wielerschool,
CT87815,L06,1741983163.74,2025-03-14 20:12:43.740000,23.101,Vlaamse wielerschool,
CT87815,L06,1741983169.472,2025-03-14 20:12:49.472000,23.711,Vlaamse wielerschool,
CT87815,L06,1741983174.256,2025-03-14 20:12:54.256000,24.612,Vlaamse wielerschool,
CT87815,L06,1741983175.343,2025-03-14 20:12:55.343000,24.849,Vlaamse wielerschool,
CT87815,L06,1741981242.373,2025-03-14 19:40:42.373000,22.546,Vlaamse wielerschool,
NN03951,L06,1741719480.099,2025-03-11 18:58:00.099000,907.082,Vlaamse wielerschool,
NN03951,L06,1741719532.601,2025-03-11 18:58:52.601000,24.362,Vlaamse wielerschool,
NN03951,L06,1741719534.195,2025-03-11 18:58:54.195000,24.407,Vlaamse wielerschool,
NN03951,L06,1741717564.234,2025-03-11 18:26:04.234000,101.874,Vlaamse wielerschool,
NN03951,L06,1741719545.993,2025-03-11 18:59:05.993000,198.109,Vlaamse wielerschool,
NN03951,L06,1741719547.316,2025-03-11 18:59:07.316000,27.176,Vlaamse wielerschool,
NN03951,L06,1741719355.925,2025-03-11 18:55:55.925000,27.518,Vlaamse wielerschool,
KS34599,L06,1741949461.313,2025-03-14 10:51:01.313000,25.673,Vlaamse wielerschool,
KS34599,L06,1741949465.121,2025-03-14 10:51:05.121000,26.181,Vlaamse wielerschool,
KS34599,L06,1741949466.872,2025-03-14 10:51:06.872000,26.29,Vlaamse wielerschool,
KS34599,L06,1741949473.301,2025-03-14 10:51:13.301000,27.143,Vlaamse wielerschool,
KS34599,L06,1741949478.45,2025-03-14 10:51:18.450000,28.026,Vlaamse wielerschool,
KS34599,L06,1741949479.59,2025-03-14 10:51:19.590000,28.08,Vlaamse wielerschool,
KS34599,L06,1741949459.44,2025-03-14 10:50:59.440000,25.296,Vlaamse wielerschool,
HZ96035,L03,1741719528.232,2025-03-11 18:58:48.232000,23.896,Vlaamse wielerschool,
HZ96035,L03,1741719531.778,2025-03-11 18:58:51.778000,24.183,Vlaamse wielerschool,
HZ96035,L03,1741719533.343,2025-03-11 18:58:53.343000,24.239,Vlaamse wielerschool,
HZ96035,L03,1741719514.515,2025-03-11 18:58:34.515000,49.04,Vlaamse wielerschool,
HZ96035,L03,1741719518.512,2025-03-11 18:58:38.512000,23.859,Vlaamse wielerschool,
HZ96035,L03,1741719519.39,2025-03-11 18:58:39.390000,23.652,Vlaamse wielerschool,
HZ96035,L03,1741719526.404,2025-03-11 18:58:46.404000,23.646,Vlaamse wielerschool,
VF36699,L03,1741719571.747,2025-03-11 18:59:31.747000,28.506,Vlaamse wielerschool,
VF36699,L03,1741719577.297,2025-03-11 18:59:37.297000,30.418,Vlaamse wielerschool,
VF36699,L03,1741719579.809,2025-03-11 18:59:39.809000,31.219,Vlaamse wielerschool,
VF36699,L03,1741719554.744,2025-03-11 18:59:14.744000,25.843,Vlaamse wielerschool,
VF36699,L03,1741719559.274,2025-03-11 18:59:19.274000,26.276,Vlaamse wielerschool,
VF36699,L03,1741719560.282,2025-03-11 18:59:20.282000,26.25,Vlaamse wielerschool,
VF36699,L03,1741719571.582,2025-03-11 18:59:31.582000,2.56,Vlaamse wielerschool,
KF34985,L02,1741978814.894,2025-03-14 19:00:14.894000,32.006,Vlaamse wielerschool,
KF34985,L02,1741978820.747,2025-03-14 19:00:20.747000,34.245,Vlaamse wielerschool,
KF34985,L02,1741978788.154,2025-03-14 18:59:48.154000,24.602,Vlaamse wielerschool,
KF34985,L02,1741978794.589,2025-03-14 18:59:54.589000,25.854,Vlaamse wielerschool,
KF34985,L02,1741978800.026,2025-03-14 19:00:00.026000,27.258,Vlaamse wielerschool,
KF34985,L02,1741978801.277,2025-03-14 19:00:01.277000,27.598,Vlaamse wielerschool,
KF34985,L02,1741978814.778,2025-03-14 19:00:14.778000,2.82,Vlaamse wielerschool,
HG19966,L06,1741976260.936,2025-03-14 18:17:40.936000,29.433,Vlaamse wielerschool,
HG19966,L06,1741976265.966,2025-03-14 18:17:45.966000,30.692,Vlaamse wielerschool,
HG19966,L06,1741976268.224,2025-03-14 18:17:48.224000,31.258,Vlaamse wielerschool,
HG19966,L06,1741976277.78,2025-03-14 18:17:57.780000,34.548,Vlaamse wielerschool,
HG19966,L06,1741976286.313,2025-03-14 18:18:06.313000,38.146,Vlaamse wielerschool,
HG19966,L06,1741976288.367,2025-03-14 18:18:08.367000,39.07,Vlaamse wielerschool,
HG19966,L06,1741976258.317,2025-03-14 18:17:38.317000,28.759,Vlaamse wielerschool,
PP73332,L03,1741810480.611,2025-03-12 20:14:40.611000,43.87,Vlaamse wielerschool,
PP73332,L03,1741810529.763,2025-03-12 20:15:29.763000,26.039,Vlaamse wielerschool,
PP73332,L03,1741810531.537,2025-03-12 20:15:31.537000,26.023,Vlaamse wielerschool,
PP73332,L03,1741810511.414,2025-03-12 20:15:11.414000,135.459,Vlaamse wielerschool,
PP73332,L03,1741810427.2,2025-03-12 20:13:47.200000,257.824,Vlaamse wielerschool,
PP73332,L03,1741810516.358,2025-03-12 20:15:16.358000,64.677,Vlaamse wielerschool,
PP73332,L03,1741810523.795,2025-03-12 20:15:23.795000,65.584,Vlaamse wielerschool,
KS56856,L03,1741864917.132,2025-03-13 11:21:57.132000,58.488,Vlaamse wielerschool,
KS56856,L03,1741865002.729,2025-03-13 11:23:22.729000,49.101,Vlaamse wielerschool,
KS56856,L03,1741865005.911,2025-03-13 11:23:25.911000,49.761,Vlaamse wielerschool,
KS56856,L03,1741864928.991,2025-03-13 11:22:08.991000,28.141,Vlaamse wielerschool,
KS56856,L03,1741864934.129,2025-03-13 11:22:14.129000,28.199,Vlaamse wielerschool,
KS56856,L03,1741864935.279,2025-03-13 11:22:15.279000,28.247,Vlaamse wielerschool,
KS56856,L03,1741864915.101,2025-03-13 11:21:55.101000,28.641,Vlaamse wielerschool,
RW64613,L03,1741805338.279,2025-03-12 18:48:58.279000,38.419,Vlaamse wielerschool,
RW64613,L03,1741805343.371,2025-03-12 18:49:03.371000,36.309,Vlaamse wielerschool,
RW64613,L03,1741805345.73,2025-03-12 18:49:05.730000,36.129,Vlaamse wielerschool,
RW64613,L03,1741805318.304,2025-03-12 18:48:38.304000,83.894,Vlaamse wielerschool,
RW64613,L03,1741805324.253,2025-03-12 18:48:44.253000,84.721,Vlaamse wielerschool,
RW64613,L03,1741805325.499,2025-03-12 18:48:45.499000,84.813,Vlaamse wielerschool,
RW64613,L03,1741805335.715,2025-03-12 18:48:55.715000,40.213,Vlaamse wielerschool,
RR18114,L06,1741811488.684,2025-03-12 20:31:28.684000,27.622,Vlaamse wielerschool,
RR18114,L06,1741811492.925,2025-03-12 20:31:32.925000,28.431,Vlaamse wielerschool,
RR18114,L06,1741811494.854,2025-03-12 20:31:34.854000,28.699,Vlaamse wielerschool,
RR18114,L06,1741811502.601,2025-03-12 20:31:42.601000,30.395,Vlaamse wielerschool,
RR18114,L06,1741811509.189,2025-03-12 20:31:49.189000,32.141,Vlaamse wielerschool,
RR18114,L06,1741811510.758,2025-03-12 20:31:50.758000,32.562,Vlaamse wielerschool,
RR18114,L06,1741811486.564,2025-03-12 20:31:26.564000,27.16,Vlaamse wielerschool,
NS41086,L03,1741949783.064,2025-03-14 10:56:23.064000,34.075,Vlaamse wielerschool,
NS41086,L03,1741949790.097,2025-03-14 10:56:30.097000,37.311,Vlaamse wielerschool,
NS41086,L03,1741949794.289,2025-03-14 10:56:34.289000,39.804,Vlaamse wielerschool,
NS41086,L03,1741949760.637,2025-03-14 10:56:00.637000,25.24,Vlaamse wielerschool,
NS41086,L03,1741949766.388,2025-03-14 10:56:06.388000,27.456,Vlaamse wielerschool,
NS41086,L03,1741949767.751,2025-03-14 10:56:07.751000,27.845,Vlaamse wielerschool,
NS41086,L03,1741949782.767,2025-03-14 10:56:22.767000,3.182,Vlaamse wielerschool,
SC89632,L07,1741718893.766,2025-03-11 18:48:13.766000,28.025,Vlaamse wielerschool,
SC89632,L07,1741718898.595,2025-03-11 18:48:18.595000,29.254,Vlaamse wielerschool,
SC89632,L07,1741718871.005,2025-03-11 18:47:51.005000,25.843,Vlaamse wielerschool,
SC89632,L07,1741718909.17,2025-03-11 18:48:29.170000,31.893,Vlaamse wielerschool,
SC89632,L07,1741718882.046,2025-03-11 18:48:02.046000,26.217,Vlaamse wielerschool,
SC89632,L07,1741718883.13,2025-03-11 18:48:03.130000,26.281,Vlaamse wielerschool,
SC89632,L07,1741718927.993,2025-03-11 18:48:47.993000,36.537,Vlaamse wielerschool,
SC73747,L01,1741881410.369,2025-03-13 15:56:50.369000,131.151,Vlaamse wielerschool,
SC73747,L01,1741881282.92,2025-03-13 15:54:42.920000,26.512,Vlaamse wielerschool,
SC73747,L01,1741881284.56,2025-03-13 15:54:44.560000,26.531,Vlaamse wielerschool,
SC73747,L01,1741881290.633,2025-03-13 15:54:50.633000,26.546,Vlaamse wielerschool,
SC73747,L01,1741881295.577,2025-03-13 15:54:55.577000,26.926,Vlaamse wielerschool,
SC73747,L01,1741881296.717,2025-03-13 15:54:56.717000,27.035,Vlaamse wielerschool,
SC73747,L01,1741881407.778,2025-03-13 15:56:47.778000,101.194,Vlaamse wielerschool,
SC87824,L01,1741719611.659,2025-03-11 19:00:11.659000,51.214,Vlaamse wielerschool,
SC87824,L01,1741719567.229,2025-03-11 18:59:27.229000,35.19,Vlaamse wielerschool,
SC87824,L01,1741719570.172,2025-03-11 18:59:30.172000,36.554,Vlaamse wielerschool,
SC87824,L01,1741719514.707,2025-03-11 18:58:34.707000,23.97,Vlaamse wielerschool,
SC87824,L01,1741719545.138,2025-03-11 18:59:05.138000,26.415,Vlaamse wielerschool,
SC87824,L01,1741719546.388,2025-03-11 18:59:06.388000,26.762,Vlaamse wielerschool,
SC87824,L01,1741719607.4,2025-03-11 19:00:07.400000,50.137,Vlaamse wielerschool,
RZ08899,L03,1741719561.245,2025-03-11 18:59:21.245000,29.599,Vlaamse wielerschool,
RZ08899,L03,1741719566.063,2025-03-11 18:59:26.063000,30.379,Vlaamse wielerschool,
RZ08899,L03,1741719568.055,2025-03-11 18:59:28.055000,30.488,Vlaamse wielerschool,
RZ08899,L03,1741719544.006,2025-03-11 18:59:04.006000,27.141,Vlaamse wielerschool,
RZ08899,L03,1741719548.871,2025-03-11 18:59:08.871000,27.991,Vlaamse wielerschool,
RZ08899,L03,1741719550.016,2025-03-11 18:59:10.016000,28.06,Vlaamse wielerschool,
RZ08899,L03,1741719558.821,2025-03-11 18:59:18.821000,29.006,Vlaamse wielerschool,
RZ10761,L07,1741812575.854,2025-03-12 20:49:35.854000,28.679,Vlaamse wielerschool,
RZ10761,L07,1741812579.973,2025-03-12 20:49:39.973000,29.064,Vlaamse wielerschool,
RZ10761,L07,1741812581.814,2025-03-12 20:49:41.814000,29.204,Vlaamse wielerschool,
RZ10761,L07,1741812589.02,2025-03-12 20:49:49.020000,30.009,Vlaamse wielerschool,
